repoId,issueId,I_url,I_createdAt,I_authorName,I_authorAssociation,I_authorGender,I_state,I_closedAt,I_numberOfComments,I_numberOfAssignees,I_numberOfParticipants,I_assignmentActorName,I_firstAssigneeName,I_timeUntilFirstComment,I_meanCommentInterval,I_timeUntilFirstAssignment,I_timeUntilClosed,I_age,I_labeledAsSecurityIssue,I_status,I_clear,I_info,I_pullRequest,I_roleOfAuthorInPR,I_numberOfCommentsInPR,I_numberOfParticipantsInPR,I_prDiscussionChallenge
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0MTYwMzk5NTI=,https://github.com/elastic/elasticsearch/issues/39555,3/1/2019 10:33:38, ,CONTRIBUTOR,unknown,CLOSED,3/17/2019 11:03:50,1,1,1,Albert Zaharovits,Albert Zaharovits,1.15740740740741E-005, ,4.01319444444444,16.0208333333333,16.0208333333333,1,ACCEPTED,Yes,None,Single Review,No,14,3,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0MjU4MDEzOTA=,https://github.com/elastic/elasticsearch/issues/40500,3/27/2019 7:22:49,陈劼,NONE,unknown,CLOSED,4/26/2019 3:25:56,3,0,2, , ,.163819444444444,2.37256944444444, ,29.8354166666667,29.8354166666667,1,REJECTED,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0MjU5NTcwNDg=,https://github.com/elastic/elasticsearch/issues/40523,3/27/2019 13:22:47,Albert Zaharovits,CONTRIBUTOR,male,OPEN, ,3,1,3,Albert Zaharovits,Albert Zaharovits,1.15740740740741E-005,2.28090277777778,0, ,363.442361111111,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0Mjg5ODIxMDQ=,https://github.com/elastic/elasticsearch/issues/40816,4/3/2019 21:24:58,Igor Motov,MEMBER,male,CLOSED,4/11/2019 3:21:19,1,1,1,Tim Vernum,Tim Vernum,2.31481481481482E-005, ,.188888888888889,7.24722222222222,7.24722222222222,1,ACCEPTED,Yes,Documentation,Single Review,No,3,3,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0Mjk0MDY2MjI=,https://github.com/elastic/elasticsearch/issues/40872,4/4/2019 17:50:53,Shaunak Kashyap,CONTRIBUTOR,male,CLOSED,4/29/2019 14:12:52,8,2,5,Ioannis Kakavas,Ioannis Kakavas,2.31481481481482E-005,3.54960317460317,11.65625,24.8479166666667,24.8479166666667,1,ACCEPTED,Yes,Documentation,Single Review,Creator,9,2,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0MzMwNTQzNDQ=,https://github.com/elastic/elasticsearch/issues/41181,4/15/2019 0:44:13,Tim Vernum,CONTRIBUTOR,male,OPEN, ,2,0,2, , ,1.15740740740741E-005,.760416666666667, , ,344.96875,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0MzQyNDMzNjY=,https://github.com/elastic/elasticsearch/issues/41305,4/17/2019 11:58:32,Ioannis Kakavas,CONTRIBUTOR,male,CLOSED,4/19/2019 10:56:52,1,1,1,Albert Zaharovits,Albert Zaharovits,1.15740740740741E-005, ,.868055555555555,1.95694444444444,1.95694444444444,1,ACCEPTED,Yes,Reproducability,Multiple Reviews,Reviewer,3,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0MzgzNDU3MzY=,https://github.com/elastic/elasticsearch/issues/41646,4/29/2019 14:30:54,Jay Modi,MEMBER,male,OPEN, ,1,0,1, , ,1.15740740740741E-005, , , ,330.395138888889,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0NTQ1MjI5NzY=,https://github.com/elastic/elasticsearch/issues/43079,6/11/2019 7:27:34,Tim Vernum,CONTRIBUTOR,male,OPEN, ,2,1,2,Tim Vernum,Tim Vernum,2.31481481481482E-005,3.40555555555556,0, ,287.688888888889,1,PENDING,Yes,Documentation,Multiple Reviews,Creator,11,3,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0NTUwNjQ4NjI=,https://github.com/elastic/elasticsearch/issues/43141,6/12/2019 7:56:47,Yannick Welsch,CONTRIBUTOR,male,CLOSED,9/26/2019 13:10:21,10,1,8,Ioannis Kakavas,Ioannis Kakavas,2.31481481481482E-005,4.49861111111111,23.2034722222222,106.217361111111,106.217361111111,1,ACCEPTED,Yes,Documentation,Single Review,No,12,3,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0NTc3ODg3NTc=,https://github.com/elastic/elasticsearch/issues/43356,6/19/2019 3:29:32, ,NONE,unknown,CLOSED,6/19/2019 4:09:22,2,0,2, , ,.0276388888888889,0, ,.0270833333333333,.0270833333333333,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0NjQ1NTcxMTI=,https://github.com/elastic/elasticsearch/issues/44006,7/5/2019 9:44:22,David Roberts,CONTRIBUTOR,male,OPEN, ,2,0,2,Yogesh Gaikwad,Yogesh Gaikwad,1.15740740740741E-005,60.94375,5.78541666666667, ,263.59375,1,PENDING,No,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0NjY2ODE4NDk=,https://github.com/elastic/elasticsearch/issues/44202,7/11/2019 6:09:41,Ioannis Kakavas,CONTRIBUTOR,male,CLOSED,1/28/2020 17:09:39,4,1,2,Ioannis Kakavas,Ioannis Kakavas,.00037037037037037,30.9356481481482,0,201.457638888889,201.457638888889,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Creator,28,3,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0NjgwMDE4OTM=,https://github.com/elastic/elasticsearch/issues/44333,7/15/2019 8:32:04,Tim Vernum,CONTRIBUTOR,male,OPEN, ,4,0,3, , ,1.15740740740741E-005,28.0886574074074, , ,253.64375,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0NzA0ODIzMjk=,https://github.com/elastic/elasticsearch/issues/44637,7/19/2019 18:37:40, ,NONE,unknown,OPEN, ,4,0,3, , ,.0453240740740741,.012962962962963, , ,249.223611111111,1,PENDING,Yes,Reproducability,No Review,Creator,2,1,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0NzE2MTczNDA=,https://github.com/elastic/elasticsearch/issues/44741,7/23/2019 10:35:17,Endre Czirbesz,NONE,male,CLOSED,7/23/2019 10:51:22,7,0,4, , ,.00763888888888889,.00717592592592593, ,.0111111111111111,.0111111111111111,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0NzM5Mjc3ODI=,https://github.com/elastic/elasticsearch/issues/44942,7/29/2019 8:49:00,Yannick Welsch,CONTRIBUTOR,male,CLOSED,10/30/2019 10:26:29,8,1,6,Ioannis Kakavas,Ioannis Kakavas,1.15740740740741E-005,11.9980158730159,.00277777777777778,93.0673611111111,93.0673611111111,1,ACCEPTED,No,Documentation,Multiple Reviews,No,11,3,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0NzQyNjc2MzU=,https://github.com/elastic/elasticsearch/issues/44984,7/29/2019 21:34:50,Jordan Sissel,CONTRIBUTOR,male,CLOSED,7/30/2019 8:35:13,4,0,3, , ,.00194444444444444,.151851851851852, ,.458333333333333,.458333333333333,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0Nzk5NDA5MDU=,https://github.com/elastic/elasticsearch/issues/45475,8/13/2019 3:23:51,Tim Vernum,CONTRIBUTOR,male,CLOSED,8/27/2019 10:00:34,3,1,2,Ioannis Kakavas,Ioannis Kakavas,1.15740740740741E-005,6.62638888888889,.144444444444444,14.275,14.275,1,ACCEPTED,Yes,Documentation,Single Review,No,4,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0OTU4NTQ2MjY=,https://github.com/elastic/elasticsearch/issues/46878,9/19/2019 14:56:54,Albert Zaharovits,CONTRIBUTOR,male,OPEN, ,3,0,2, , ,1.15740740740741E-005,14.1076388888889, , ,187.377083333333,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MDA1OTMzNzc=,https://github.com/elastic/elasticsearch/issues/47333,10/1/2019 0:31:17,Yogesh Gaikwad,CONTRIBUTOR,male,OPEN, ,18,0,5, , ,2.31481481481482E-005,3.33047385620915, , ,175.977777777778,1,PENDING,Yes,Documentation,Multiple Reviews,No,5,4,High
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MDMxNzAxMjM=,https://github.com/elastic/elasticsearch/issues/47629,10/6/2019 22:29:41,Yogesh Gaikwad,CONTRIBUTOR,male,OPEN, ,1,0,1, , ,1.15740740740741E-005, , , ,170.0625,1,PENDING,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MDU4OTM4MjE=,https://github.com/elastic/elasticsearch/issues/47924,10/11/2019 14:42:00,Willem D'Haese,NONE,male,OPEN, ,1,0,1, , ,3.73445601851852, , , ,165.3875,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MDYwMjk4MzM=,https://github.com/elastic/elasticsearch/issues/47952,10/11/2019 19:50:38,Nick Knize,MEMBER,male,CLOSED,10/12/2019 12:53:06,2,0,2, , ,1.15740740740741E-005,.588888888888889, ,.709722222222222,.709722222222222,1,ACCEPTED,Yes,Documentation,No Review,No,1,0,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MDc3NjEyNjk=,https://github.com/elastic/elasticsearch/issues/48120,10/16/2019 10:27:57,Albert Zaharovits,CONTRIBUTOR,male,OPEN, ,3,0,3, , ,1.15740740740741E-005,44.5798611111111, , ,160.563888888889,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MDg3NjE4Mjk=,https://github.com/elastic/elasticsearch/issues/48217,10/17/2019 22:56:57,Andrew Hall,MEMBER,male,CLOSED,10/24/2019 5:52:09,1,0,1, , ,1.15740740740741E-005, , ,6.28819444444444,6.28819444444444,1,ACCEPTED,Yes,Documentation,Single Review,No,6,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MTM3MDM1ODA=,https://github.com/elastic/elasticsearch/issues/48613,10/29/2019 5:35:54,Tim Vernum,CONTRIBUTOR,male,OPEN, ,1,0,1, , ,1.15740740740741E-005, , , ,147.766666666667,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MTgwMzE5OTE=,https://github.com/elastic/elasticsearch/issues/48871,11/5/2019 21:07:17,Dominic Watson,NONE,male,OPEN, ,3,0,2, , ,1.75459490740741,34.8864583333333, , ,140.119444444444,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MTgzOTczMzM=,https://github.com/elastic/elasticsearch/issues/48879,11/6/2019 10:59:35,Timo,NONE,male,OPEN, ,2,0,2, , ,2.35582175925926,5.93819444444445, , ,139.541666666667,1,PENDING,Yes,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MjEyMTYwMzA=,https://github.com/elastic/elasticsearch/issues/48969,11/11/2019 15:23:47,Robbie Ogburn,MEMBER,male,OPEN, ,8,0,5, , ,1.15740740740741E-005,.0590277777777778, , ,134.358333333333,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MjExMzI5OTU=,https://github.com/elastic/elasticsearch/issues/48962,11/11/2019 19:05:26,Boaz Leskes,MEMBER,male,OPEN, ,2,0,2, , ,.00976851851851852,.134027777777778, , ,134.204166666667,1,PENDING,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MzM2Njg4MTE=,https://github.com/elastic/elasticsearch/issues/49894,12/6/2019 0:06:07,Tim Vernum,CONTRIBUTOR,male,OPEN, ,2,0,1, , ,3.47222222222222E-005,0, , ,109.995138888889,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1MzQ4MDMwOTQ=,https://github.com/elastic/elasticsearch/issues/49980,12/9/2019 9:36:57,Ioannis Kakavas,CONTRIBUTOR,male,OPEN, ,2,1,1,Ioannis Kakavas,Ioannis Kakavas,5.78703703703704E-005,0,0, ,106.599305555556,1,PENDING,No,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1Mzg2NTE2MzY=,https://github.com/elastic/elasticsearch/issues/50250,12/16/2019 20:54:41,Tim Vernum,CONTRIBUTOR,male,CLOSED,1/8/2020 2:32:46,1,1,1,Tim Vernum,Tim Vernum,5.78703703703704E-005, ,13.3666666666667,22.2347222222222,22.2347222222222,1,ACCEPTED,Yes,Documentation,Single Review,Creator,4,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1NDc5NTg2NTA=,https://github.com/elastic/elasticsearch/issues/50843,1/10/2020 9:19:50,Chris,NONE,male,CLOSED,1/15/2020 21:43:29,2,1,2,Tim Vernum,Yang Wang,.00309027777777778,2.75486111111111,2.75486111111111,5.51597222222222,5.51597222222222,1,ACCEPTED,Yes,None,Multiple Reviews,No,9,4,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1NTEwOTc3ODA=,https://github.com/elastic/elasticsearch/issues/51132,1/16/2020 22:42:19,Chris,NONE,male,OPEN, ,5,0,3, , ,.460625,6.890625, , ,68.0534722222222,1,PENDING,Yes,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1NTQ3ODc5ODU=,https://github.com/elastic/elasticsearch/issues/51424,1/24/2020 15:05:55,Ioannis Kakavas,CONTRIBUTOR,male,OPEN, ,2,0,2, , ,4.62962962962963E-005,60.1833333333333, , ,60.3708333333333,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1NTc1MjE5MjM=,https://github.com/elastic/elasticsearch/issues/51677,1/30/2020 14:14:52,Peter Pramberger,NONE,male,OPEN, ,5,1,4,Tim Vernum,Yang Wang,.104814814814815,.907291666666667,3.61944444444444, ,54.40625,1,PENDING,Yes,Documentation,Multiple Reviews,No,7,4,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1NTg4ODI4ODk=,https://github.com/elastic/elasticsearch/issues/51799,2/3/2020 6:58:31,Yang Wang,CONTRIBUTOR,unknown,OPEN, ,6,1,3,Yang Wang,Yang Wang,2.31481481481482E-005,10.2583333333333,44.5875, ,50.7090277777778,1,PENDING,Yes,Documentation,Multiple Reviews,Creator,17,4,High
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1NjAyNjU3MjM=,https://github.com/elastic/elasticsearch/issues/51924,2/5/2020 10:08:18,Yannick Welsch,CONTRIBUTOR,male,CLOSED,2/5/2020 16:23:25,3,1,2,Ioannis Kakavas,Ioannis Kakavas,3.47222222222222E-005,.028125,.0555555555555556,.260416666666667,.260416666666667,1,ACCEPTED,No,Documentation,Single Review,No,2,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1NjE0NzIyOTM=,https://github.com/elastic/elasticsearch/issues/52033,2/7/2020 7:40:04,Albert Zaharovits,CONTRIBUTOR,male,CLOSED,2/7/2020 17:53:44,2,0,2, , ,2.31481481481482E-005,.425694444444444, ,.425694444444444,.425694444444444,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU1NzU0NzU3OTM=,https://github.com/elastic/elasticsearch/issues/53110,3/4/2020 15:01:37, ,NONE,unknown,OPEN, ,1,0,1, , ,4.78991898148148, , , ,20.3736111111111,1,PENDING,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDcxODE5Ng==,MDU6SXNzdWUxNTMzNzk1OTc=,https://github.com/subutai-io/peer-os/issues/831,5/6/2016 5:14:34,Alex Karasulu,CONTRIBUTOR,male,CLOSED,9/26/2017 13:03:41,3,1,1,Alex Karasulu, ,300.884849537037,103.719791666667,0,508.325694444444,508.325694444444,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDcxODE5Ng==,MDU6SXNzdWUxNTM3Mjc0MDk=,https://github.com/subutai-io/peer-os/issues/851,5/9/2016 8:35:16,Dilshat,MEMBER,male,CLOSED,5/10/2016 5:44:29,1,1,1,Dilshat,NK-The-Crazy,.881400462962963, ,0,.88125,.88125,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDcxODE5Ng==,MDU6SXNzdWUxNjEwNTc4MzE=,https://github.com/subutai-io/peer-os/issues/1076,6/19/2016 5:42:08,Abdysamat Mamutov,MEMBER,male,CLOSED,6/21/2016 8:31:01,2,2,2,Dmitry Shihovtsev,Dilshat,.510833333333333,1.60625,.00347222222222222,2.11666666666667,2.11666666666667,1,ACCEPTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDcxODE5Ng==,MDU6SXNzdWUyMDQ1NzM1NTg=,https://github.com/subutai-io/peer-os/issues/1713,2/1/2017 12:40:48,Dilshat,MEMBER,male,CLOSED,2/6/2017 8:31:51,2,1,1,Dilshat,Dilshat,.00569444444444444,4.82083333333333,.00694444444444444,4.82708333333333,4.82708333333333,1,ACCEPTED,Yes,None,No Review,No,0,0,Low
MDEwOlJlcG9zaXRvcnk1MDcxODE5Ng==,MDU6SXNzdWUyMTQwMjcwMjA=,https://github.com/subutai-io/peer-os/issues/1778,3/14/2017 10:25:47,Dilshat,MEMBER,male,CLOSED,4/25/2017 4:56:39,1,1,1,Dilshat,Dilshat,41.7714351851852, ,0,41.7708333333333,41.7708333333333,1,ACCEPTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1NDU1NDU4,MDU6SXNzdWU4MTUxNzk2NQ==,https://github.com/RestComm/Restcomm-Connect/issues/272,5/27/2015 16:19:19,Ivelin Ivanov,CONTRIBUTOR,male,OPEN, ,4,1,2,Ivelin Ivanov,Guilherme Humberto Jansen,.591215277777778,118.137731481481,0, ,1763.31944444444,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1NDU1NDU4,MDU6SXNzdWUxMDM3NTIwMDc=,https://github.com/RestComm/Restcomm-Connect/issues/418,8/28/2015 16:33:42,Jean Deruelle,MEMBER,male,OPEN, ,1,2,1,Jean Deruelle,George Vagenas,394.670219907407, ,0, ,1670.30972222222,1,PENDING,No,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1NDU1NDU4,MDU6SXNzdWUxNTYwMzE4ODQ=,https://github.com/RestComm/Restcomm-Connect/issues/1095,5/20/2016 19:13:17,Guilherme Humberto Jansen,CONTRIBUTOR,male,OPEN, ,1,0,1,Guilherme Humberto Jansen,Guilherme Humberto Jansen,10.7419212962963, ,0, ,1404.19861111111,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1NDU1NDU4,MDU6SXNzdWUxODEzOTA4MDI=,https://github.com/RestComm/Restcomm-Connect/issues/1456,10/6/2016 11:32:14,George Vagenas,COLLABORATOR,male,CLOSED,3/9/2017 11:51:57,3,1,2,George Vagenas,George Vagenas,10.8526388888889,71.1486111111111,0,154.013194444444,154.013194444444,1,ACCEPTED,Yes,None,Multiple Reviews,Reviewer,7,2,Medium
MDEwOlJlcG9zaXRvcnk1NDU1NDU4,MDU6SXNzdWUyMjk2MjA0OTY=,https://github.com/RestComm/Restcomm-Connect/issues/2159,5/18/2017 10:14:02,George Vagenas,COLLABORATOR,male,OPEN, ,6,0,3, , ,9.35135416666667,.725416666666667, , ,1041.57291666667,1,PENDING,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1NDYyNDUxMQ==,MDU6SXNzdWUzMTgzNzY5NTc=,https://github.com/cuba-platform/cuba/issues/250,8/9/2016 14:56:30,Haulmont,NONE,unknown,CLOSED,6/23/2019 14:53:47,1,0,1,Haulmont,Yuriy Artamonov,1047.99811342593, ,625.861805555556,1047.99791666667,1047.99791666667,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1NDYyNDUxMQ==,MDU6SXNzdWUzMTgzNzkyOTA=,https://github.com/cuba-platform/cuba/issues/310,11/22/2016 15:26:29,Haulmont,NONE,unknown,CLOSED,10/14/2018 12:30:24,1,1,1,Haulmont,Yuriy Artamonov,690.877685185185, ,520.847222222222,690.877083333333,690.877083333333,1,REJECTED,Yes,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk1NDYyNDUxMQ==,MDU6SXNzdWUzMTgzODk1NTM=,https://github.com/cuba-platform/cuba/issues/560,9/25/2017 10:10:30,Haulmont,NONE,unknown,OPEN, ,1,0,1,Haulmont,Konstantin Krivopustov,253.346898148148, ,214.091666666667, ,911.575694444444,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1NDYyNDUxMQ==,MDU6SXNzdWUzNzQzMTU2ODA=,https://github.com/cuba-platform/cuba/issues/1457,10/26/2018 10:08:37,Yuriy Artamonov,CONTRIBUTOR,male,CLOSED,12/25/2018 14:53:56,1,2,1,Yuriy Artamonov,Gleb Gorelov,44.9080555555555, ,0,60.1979166666667,60.1979166666667,1,ACCEPTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1NDYyNDUxMQ==,MDU6SXNzdWU0MzM4MjU1MzQ=,https://github.com/cuba-platform/cuba/issues/2070,4/16/2019 14:52:30,Konstantin Krivopustov,MEMBER,male,CLOSED,6/25/2019 12:52:28,1,2,1,Konstantin Krivopustov,Konstantin Krivopustov,9.7446875, ,0,69.9159722222222,69.9159722222222,1,ACCEPTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1NTUwNTY3,MDU6SXNzdWU1ODg3NTc1OA==,https://github.com/owncloud/android/issues/898,2/25/2015 9:47:21,David A. Velasco,MEMBER,male,CLOSED,4/8/2015 11:29:32,16,0,10, , ,.00465277777777778,2.80412037037037, ,42.0708333333333,42.0708333333333,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1NTUwNTY3,MDU6SXNzdWUxNzUxNzUzNDA=,https://github.com/owncloud/android/issues/1799,9/6/2016 7:09:39,glirhuin,NONE,male,CLOSED,2/22/2019 13:33:06,28,1,13,David González Verdugo,David González Verdugo,.00520833333333333,33.7830504115226,877.065277777778,899.265972222222,899.265972222222,1,ACCEPTED,Yes,Reproducability,Multiple Reviews,No,17,3,Medium
MDEwOlJlcG9zaXRvcnk1NTYzODQxMg==,MDU6SXNzdWUxNjk2Njc3Mzg=,https://github.com/mapbox/mapbox-java/issues/166,8/5/2016 18:26:12,Cameron Mace,CONTRIBUTOR,male,CLOSED,3/19/2018 13:08:27,3,1,2,Kajari Ghosh,Kajari Ghosh,14.0117476851852,288.383333333333,192.136111111111,590.779166666667,590.779166666667,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1NTYzODQxMg==,MDU6SXNzdWUyMzIzNjU3NTQ=,https://github.com/mapbox/mapbox-java/issues/471,5/30/2017 20:04:29,Cameron Mace,CONTRIBUTOR,male,CLOSED,7/18/2017 20:48:23,1,0,1, , ,49.0304861111111, , ,49.0298611111111,49.0298611111111,1,REJECTED,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1NTYzODQxMg==,MDU6SXNzdWUyMzI5NTczNDQ=,https://github.com/mapbox/mapbox-java/issues/474,6/1/2017 17:45:16,Minh Nguyễn,MEMBER,unknown,CLOSED,7/14/2017 15:47:12,1,0,1, , ,.0253472222222222, , ,42.9173611111111,42.9173611111111,1,ACCEPTED,Yes,Documentation,Single Review,No,0,0,Low
MDEwOlJlcG9zaXRvcnk1ODIwODY5Mw==,MDU6SXNzdWUzMjQwMTA2MDg=,https://github.com/eclipse/milo/issues/274,5/17/2018 12:55:40,Kevin Herron,CONTRIBUTOR,male,CLOSED,10/16/2018 3:21:33,2,1,1,Kevin Herron,Kevin Herron,.0108564814814815,127.995833333333,0,151.600694444444,151.600694444444,1,ACCEPTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk2MDg3OTYzNg==,MDU6SXNzdWUyMzQ5MTEwMDM=,https://github.com/yahoo/fili/issues/373,6/9/2017 18:55:02,Rick Jensen,COLLABORATOR,male,CLOSED,8/2/2017 21:51:03,2,0,2, , ,54.075162037037,.0465277777777778, ,54.1222222222222,54.1222222222222,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk2MjA1Njc4MA==,MDU6SXNzdWUzODY0MDkxNzk=,https://github.com/eclipse/eclipse.jdt.ls/issues/874,12/1/2018 1:50:36,Fred Bricon,CONTRIBUTOR,male,CLOSED,12/1/2018 2:53:46,1,0,1, , ,.000752314814814815, , ,.04375,.04375,1,ACCEPTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk2MjA1Njc4MA==,MDU6SXNzdWUzODg0NTQ2NTI=,https://github.com/eclipse/eclipse.jdt.ls/issues/888,12/7/2018 0:23:58,Fred Bricon,CONTRIBUTOR,male,CLOSED,12/7/2018 20:56:57,2,1,1,Fred Bricon,Yaohai Zheng,.0446180555555556,.00763888888888889,.00138888888888889,.855555555555556,.855555555555556,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Reviewer,3,2,Low
MDEwOlJlcG9zaXRvcnk2MjcxNDIx,MDU6SXNzdWUyOTE5OTMxODg=,https://github.com/azkaban/azkaban/issues/1618,1/26/2018 18:39:14, ,CONTRIBUTOR,unknown,CLOSED,4/18/2018 2:30:26,3,0,1, , ,.133483796296296,40.3746527777778, ,81.3270833333333,81.3270833333333,1,ACCEPTED,Yes,None,Single Review,Creator,1,1,Low
MDEwOlJlcG9zaXRvcnk2MjExNzgxMg==,MDU6SXNzdWU0MDUxOTYyODc=,https://github.com/apache/pulsar/issues/3491,1/31/2019 11:14:34,Jia Zhai,MEMBER,unknown,CLOSED,5/4/2019 4:04:08,3,1,2,Jia Zhai,Jia Zhai,.244398148148148,46.228125,0,92.7006944444445,92.7006944444445,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Creator,6,2,Medium
MDEwOlJlcG9zaXRvcnk2MjExNzgxMg==,MDU6SXNzdWU1NzkwNjU4NzE=,https://github.com/apache/pulsar/issues/6517,3/11/2020 7:39:21, ,NONE,unknown,OPEN, ,7,1,3,Jia Zhai,Jia Zhai,.0665625,4.27881944444445,7.29930555555556, ,13.6805555555556,1,PENDING,Yes,Reproducability,No Review,Creator,4,2,Medium
